type,text
Spam,"এলার্ট 90%: আপোনাৰ দৈনিক হাই স্পীডৰ ডাটা সীমাৰ বাবে। 2GB ডাটা লাভ কৰক মাত্ৰ Rs33 ত, মাজনিশালৈকে বৈধ।এতিয়াই ৰিচাৰ্জ কৰক i.airtel.in/dtpck"
Spam,"সূচনা: Rs 9,00,000 লৈকে ঋণ প্ৰদান 7086110961 -ৰ বাবে! এয়াৰটেল ফ্লেক্সি ক্ৰেডিটৰ সৈতে ছেকেণ্ডত আপোনাৰ একাউণ্টত টকা প্ৰাপ্ত কৰক। কোনো কাগজপত্ৰ নাই। এতিয়াই লাভ কৰক https://i.airtel.in/FSLOANNM"
Spam,"ধুমুহাৰ বতৰৰ আগতেই ঘৰৰ দুৱাৰ-খিৰিকীৰ খিলি, চিত্কলি আদি ব্যৱহাৰ যোগ্য হৈ আছে নে নাই, দুৱাৰ-খিৰিকীত ফাঁক বা কাঁচ আদি ভাঙি আছে নেকি পৰীক্ষা কৰি মেৰামতি কৰাই লওঁক । ASDMA"
Spam,"বিজুলী ঢেৰেকনি হৈ থকাৰ সময়ত যদি আপুনি নাওঁ বাই বা সাতুঁৰি আছে, তেন্তে ততালিকে পাৰলৈ আহি নিৰাপদ আশ্ৰয় গ্ৰহণ কৰক । ASDMA"
Spam,"Silchar আপনি কি আপনার নেটওয়ার্ক অভিজ্ঞতাকে পরবর্তী স্তরে নিয়ে যাওয়ার জন্য প্রস্তুত?
Airtel 5G Plus শীঘ্রই আসছে আপনার শহরে। আপনি 5G এর জন্য প্রস্তুত কিনা তা জানতে, ক্লিক করুন i.airtel.in/air5G এ।"
Spam,"ভভূমিকম্পৰ সময়ত ফুলৰ টাব, ফল্চ্ চিলিং, বৈদ্যুতিক তাঁৰ, বৈদ্যুতিক খুটা, বেৰ, ওখ গছ, আদি বাগৰি পৰিব পৰা বস্তুৰ ওচৰে পাজৰে থকাৰ পৰা বিৰত থাকক । ASDMA"
Spam,"শীতকালত সুৰাপান নকৰিব। ই শৰীৰৰ তাপমাত্ৰা বৃদ্ধি নকৰে, ইয়াৰ পৰিৱৰ্তে শৰীৰৰ তাপমাত্ৰা হ্ৰাস হে কৰে। ASDMA"
Spam,"ভূমিস্খলনৰ ক্ষেত্ৰত পাহাৰৰ পৰা নামি অহা পানীৰ সৈতে শিল, বালি বা মাটিও নামি অহা দেখিলে সাৱধান হওক । ASDMA"
Spam,"ভূমিস্খলনৰ ক্ষেত্ৰত আচৰিত ধৰণৰ শব্দ শুনিলে (শিলৰ শব্দ, গছ-ভঙা, পানীৰ তীব্ৰ শব্দ, মাটি খহি অহাৰ শব্দ) সাৱধান হওক I ASDMA"
Spam,ভূমিস্খলন ৰোধ কৰিবলৈ বৰষুণৰ দিনবোৰত মাটি কটা কাম বা মাটি ঢিলা কৰিব পৰা কাম নকৰিব । ASDMA
Spam,ভূমিস্খলন ৰোধ কৰিবলৈ পাহাৰীয়া এঢলীয়া ঠাইত ডাঙৰ গছৰ সলনি মাটি ধৰি ৰাখিব পৰা গছপুলি ৰোৱাৰ ব্যৱস্থা কৰক । ASDMA
Spam,"ভূমিস্খলনৰ সম্ভাৱনা থকা অঞ্চলৰ বাসিন্দাসকলে পৰ্যাপ্ত পৰিমাণে মোবাইল ফোনৰ ৰিচাৰ্জ কৰি থওঁক, লগতে বেটাৰীচালিত ৰেডিঅ’ আৰু টৰ্চ লাইট নিজৰ লগত ৰাখক । ASDMA"
Spam,"যদি গৰমৰ দিনত আপুনি ঘৰৰ বাহিৰত কাম কৰি আছে, তেন্তে আপুনি পিয়াহ অনুভৱ নকৰিলেও যথেষ্ট পৰিমাণে পানী খাব(অন্তত 3 গিলাছ প্ৰতি ঘন্টাত)| ASDMA"
Spam,বানপানীৰ সময়ত নলা নৰ্দমাত পানী জমা নহ´বৰ বাবে বানপানীৰ দিন আৰম্ভ হোৱাৰ পূৰ্বে নলাত প্লাষ্টিক জাবৰ জোথৰৰ নিচিনা আৱৰ্জনা পেলোৱা বন্ধ কৰক| ASDMA
Spam,দিনটোৰ অত্যন্ত গৰমৰ সময়খিনিত পৰাপক্ষত ঘৰৰ বাহিৰলৈ নোলাব I ASDMA
Spam,"গৰমৰ দিনত যদি আপুনি ঘৰৰ বাহিৰত কামত ব্যস্ত থাকে, পিয়াহ অনুভৱ নকৰিলেও অন্ততঃ এঘণ্টাৰ মূৰে মূৰে ৩ গ্লাছ বিশুদ্ধ পানী খাব I (ASDMA)"
Spam,গৰমৰ দিনত ঘৰৰ বাহিৰলৈ ওলাই যাবলগীয়া হলে সদায় ছাতি লগত লৈ ওলাব আৰু পৰাপক্ষত পাতল ৰঙৰ কপাহী কাপোৰহে পৰিধান কৰিব I ASDMA
Spam,"গৰমৰ দিনত পৰাপক্ষত কেফেইন্, এলক’হল বা চেনী যুক্ত পানীয় পৰিহাৰ কৰিব I ASDMA"
Spam,"গৰমৰ দিনত আপোনাৰ শিশুক দুৱাৰ-খিৰিকী মাৰি গাড়ীৰ ভিতৰত এৰি থৈ নাযাব, কিয়নো বন্ধ গাড়ীৰ ভিতৰৰ তাপমাত্ৰা মিনিটৰ ভিতৰতে ১৪০° পৰ্যন্ত হৈ যাব পাৰে I(ASDMA)"
Spam,বানৰ সময়ত নলা-ন্ৰ্দমাত পানী জমা নহ’বৰ বাবে নলাত প্লাষ্টিক জাৱৰ-জোথৰ আদি নেপেলাব - ASDMA
Spam,বানৰ সময়ত ব্যৱহাৰৰ বাবে আৱ্শ্যকীয় সামগ্ৰীৰ জৰুৰীকালীন টোপোলা যোগাৰ কৰি থওক - ASDMA
Spam,"নমস্কাৰ।মিছন বসুন্ধৰাৰ ২.০ সেৱাসমূহৰ বাবে অনলাইনযোগে আপুনি www.rtps.assam.gov.in ত আৱেদন কৰক অথবা নিকটৱৰ্তী ৰাজহুৱা সুবিধা কেন্দ্ৰলৈ আহি ৩১ মাৰ্চ, ২০২৩ ৰ আগতে আৱেদন সম্পন্ন কৰক ।- DLR&S etc. Assam"
Spam,"আপোনাৰ ৰিচাৰ্জত কেছবেক বিচাৰে নেকি?
আপোনাৰ বৰ্তমানৰ পেক সমাপ্ত হ'ব। আপোনাৰ এয়াৰটেল নম্বৰ Phonepeত ৰিচাৰ্জ কৰক,কেছবেক* উপাৰ্জনৰ সুযোগ পাওক।ক্লিক https://phon.pe/airtelas"
Spam,"অগ্নিকাণ্ডৰ কাৰণবোৰৰ বিষয়ে জানক, সজাগ হওক আৰু সুৰক্ষিত থাকক । ASDMA"
Spam,"জুই প্ৰশমনৰ বাবে পৰম্পৰাগত ভাৱে ব্যৱহাৰ কৰা বস্তু যেনে, বালিৰে ভৰা টোপোলা, কম্বল্, কপাহী কাপোৰ আদি হাতেৰে ঢুকি পোৱা ঠাইত ৰাখক যাতে বিছাৰিলে পোৱা যায় । ASDMA"
Spam,"অগ্নিকাণ্ডৰ সময়চোৱাত ঘৰৰ ভিতৰত থাকিলে, ভিতৰৰ পৰা ওলাই আহিবলৈ চাপৰি লওঁক । ASDMA"
Spam,"শীতকালত সুৰাপান নকৰিব। ই শৰীৰৰ তাপমাত্ৰা বৃদ্ধি নকৰে, ইয়াৰ পৰিৱৰ্তে শৰীৰৰ তাপমাত্ৰা হ্ৰাস হে কৰে। ASDMA"
Spam,ভূমিকম্পৰ সময়চোৱাত জোঁকাৰণিৰ অনুভৱ হোৱাৰ লগে লগে কোনো মজবুত মেজ বা অলপ ওখ বিচনাৰ তলত আশ্ৰয় লওঁক । ASDMA
Spam,"ভূমিকম্পৰ সময়ত আইনাৰ বেৰ, খিৰিকী বা দুৱাৰৰ ওচৰে পাজৰে থকাৰ পৰা বিৰত থাকক । ASDMA"
Spam,"আপোনাৰ পছন্দৰ Rs. 19 এয়াৰটেল পেক এতিয়া Rs. 22 -ত উপলব্ধ। লাভালাভৰ পৰিৱৰ্তনবোৰ জানিবলৈ, এয়াৰটেল থেংক্স এপলৈ যাওঁক u.airtel.in/rch3"
Spam,বানপানীত আপোনাৰ সুৰক্ষাৰ বাবে জৰুৰী নথিপত্ৰ আৰু মূ্ল্যৱান সামগ্ৰীসমূহ জল্-প্ৰ্তিৰোধক মোনাত ৰাখক । ASDMA
Spam,গৰমৰ দিনত পিয়াহ নালাগিলেও পৰ্যাপ্ত পৰিমানৰ বিশুদ্ধ পানী সঘনাই খাব । ASDMA
Spam,ধগৰমৰ দিনত ঘৰৰ বাহিৰলৈ ওলাই যাবলগীয়া হলে সদায় ছাতি লগত লৈ ওলাব আৰু পৰাপক্ষত পাতল ৰঙৰ কপাহী কাপোৰহে পৰিধান কৰিব। ASDMA
Spam,"ধুমুহাৰ সময়ত আপুনি যদি চলন্ত গাড়ীত আছে, তেনেহ’লে বৈদ্যুতিক তাঁৰ, গছ আদিৰ পৰা আঁতৰত নিৰাপদ ঠাইত গাড়ীখন ৰাখিবলৈ চালকক কঁওক । ASDMA"
Spam,অকৰ্তৃত্বশীল ফৰেক্স ট্ৰেডিং প্লেটফৰ্মত লেনদেন নকৰিব। অধিক তথ্যৰ বাবে চাওঁক https://bit.ly/rbi_pr -RBI
Spam,আৰ বি আইয়ে কেতিয়াও জনসাধাৰণৰ পৰা তেওঁলোকৰ ব্যক্তিগত/বেংকৰ সবিশেষ নিবিচাৰে। আৰ বি আইৰ ভুৱা প্ৰতীক আৰু মেছেজৰ পৰা সাৱধান। -RBI
Spam,আপোনাৰ ফোন/ ডিভাইচত যিকোনো অজ্ঞাত এপ ডাউনলোড অথবা যিকোনো অজ্ঞাত লিংকত ক্লিক নকৰিব। এপ/লিংকটোৱে আপোনাৰ বিত্তীয় তথ্য সংগ্ৰহ কৰাৰ সুযোগ ল'ব পাৰে। -RBI
Spam,"যদি আপুনি নকৰা ডেবিট লেনদেনৰ বাবে এছএমএছ লাভ কৰে, তেন্তে তৎক্ষণাত ইউপিআইকে ধৰি ডেবিটৰ সকলো মোড ব্লক কৰক। লগতে আপোনাৰ বেংক/ই-ৱালেটক জনাওক। -RBI"
Spam,"ক্ৰেডিট কাৰ্ডৰ সুবিধা গ্ৰহণ কৰাৰ সময়ত, চৰ্ত আৰু নিয়মাৱলী, সুতৰ হাৰ আৰু অন্যান্য মাচুল/চাৰ্জৰ বাবে মূল তথ্য বিবৃতি ভালদৰে পঢ়ক। -RBI"
Spam,আপোনাৰ অভিযোগ প্ৰথমে বেংক/এনবিএফচি/ধন পৰিশোধ ব্যৱস্থাপনাৰ অংশগ্ৰহণকাৰী/ক্ৰেডিট ইনফৰ্মেশ্যন কোম্পানীত দাখিল কৰক। যদি 30 দিনৰ ভিতৰত সমাধান নহয় তেন্তে cms.rbi.org.in-ত অভিযোগ দাখিল কৰক। -RBI
Spam,KYC আপডেট/একাউণ্ট ব্লক কৰা/ লোন অফাৰৰ প্ৰৱঞ্চনামূলক কল/SMS/লিংকৰ পৰা সাৱধান হওক। এনে সন্দেহজনক মেছেজ https://sancharsaathi.gov.in ত অভিযোগ দিয়ক। -RBI
Spam,your favourite athletes চেনেল Sony Ten 3 -ত চাবলৈ মিচ নকৰিব! উপভোগ কৰক লাইভ Commonwealth Games মেচ এয়াৰটেল ডিজিটেল TV -ত Rs20.06/মাহত| চাবস্ক্ৰাইব কৰিবৰ বাবে আপোনাৰ ৰেজিষ্টাৰ মোবাইল নম্বৰৰ পৰা 9154052289 -ত মিচ কল দিয়ক|
Spam,Chelsea vs AC Milan চেনেল Sony Ten 2 -ত চাবলৈ মিচ নকৰিব! উপভোগ কৰক লাইভ UEFA CHampions League মেচ এয়াৰটেল ডিজিটেল TV -ত Rs17.07/মাহত| চাবস্ক্ৰাইব কৰিবৰ বাবে আপোনাৰ ৰেজিষ্টাৰ মোবাইল নম্বৰৰ পৰা 9154052287 -ত মিচ কল দিয়ক|
Spam,"আপোনাৰ নিচিনা ক্ৰিকেটপ্ৰেমীৰ বাবে!
উপভোগ কৰক India vs South Africa লাইভ ODI Cricket মেচ Star Sports 1 Hindi -ত এয়াৰটেল ডিজিটেল TV -ৰ সৈতে| ৰিচাৰ্জ কৰক Rs 340-ৰ সৈতে আৰু Rs 355 -ৰ লাভ পাওঁক|ইয়াত ক্লিক কৰক u.airtel.in/sQDT9k"
Spam,"আপোনাৰ দৰে স্মাৰ্ট চেভাৰৰ বাবে সৰ্বশ্ৰেষ্ঠ বিক্ৰেতাৰ প্লেন!পাওক 75GB ডাটা ৰোলঅভাৰৰ সৈতে, Amazonপ্ৰাইম আৰু অধিক মাত্ৰ Rs499 ত! আজিয়েই পোষ্টপেইডলৈ সলনি কৰক i.airtel.in/f4"
Spam,"দৈনিক ডাটা বাৰে বাৰে শেষ হৈ আহিছে নেকি? এয়াৰটেল পোষ্টপেইডৰ সৈতে, আপুনি আপোনাৰ বাকী থকা ডাটা অহা মাহলৈকে বহন কৰিব পাৰে। প্লেন কেৱল Rs399 ৰ পৰা আৰম্ভ হয় i.airtel.in/t7"
Spam,"আপোনাৰ নিচিনা ক্ৰিকেটপ্ৰেমীৰ বাবে!
উপভোগ কৰক New Zealand vs India লাইভ ODI Cricket মেচ DD Sports CH 299 -ত এয়াৰটেল ডিজিটেল TV -ৰ সৈতে| ৰিচাৰ্জ কৰক Rs 340-ৰ সৈতে আৰু Rs 355 -ৰ লাভ পাওঁক|ইয়াত ক্লিক কৰক u.airtel.in/sQDT9k"
Spam,GT VS SRH চেনেল Star Sports 1 Hindi -ত চাবলৈ মিচ নকৰিব! উপভোগ কৰক লাইভ TATA IPL মেচ এয়াৰটেল ডিজিটেল TV -ত Rs22.42/মাহত| চাবস্ক্ৰাইব কৰিবৰ বাবে আপোনাৰ ৰেজিষ্টাৰ মোবাইল নম্বৰৰ পৰা 9154052281 -ত মিচ কল দিয়ক|
Spam,LSG VS MI চেনেল Star Sports 1 Hindi -ত চাবলৈ মিচ নকৰিব! উপভোগ কৰক লাইভ TATA IPL মেচ এয়াৰটেল ডিজিটেল TV -ত Rs22.42/মাহত| চাবস্ক্ৰাইব কৰিবৰ বাবে আপোনাৰ ৰেজিষ্টাৰ মোবাইল নম্বৰৰ পৰা 9154052281 -ত মিচ কল দিয়ক|
Spam,"POCO M6 এতিয়া কেৱল Rs8799 ত!
ফ্লিপকাৰ্টত উপলব্ধ POCO M6 5G স্মাৰ্টফোনত এয়াৰটেলৰ পৰা Rs750 লৈকে অফ + 50GB বিনামূলীয়া ডাটা প্ৰাপ্ত কৰক! চৰ্তাৱলী প্ৰযোজ্য। অধিক জানিবলৈ, ক্লিক কৰক i.airtel.in/e/AirFlip"
Spam,এয়াৰটেল য়ুজাৰ্জৰ বাবে এক্সক্লুচিভ অফাঁৰ। আপোনাৰ নতুন Samsung F15 5G স্মাৰ্টফোনত Rs750 -ৰ ৰেহাই লগতে অতিৰিক্ত 50GB ডাটাৰ আনন্দ লওঁক। এইটো এতিয়াই ফ্লিপকাৰ্টৰ পৰা লাভ কৰক! ক্লিক কৰক i.airtel.in/e/AirtelF15
Spam,"ৱাহ! আপুনি আপোনাৰ পূৰ্বৱৰ্তী এয়াৰটেল পেকৰ সৈতে কোনো অতিৰিক্ত ব্যয় নোহোৱাকৈ 38 GB 5G ডাটা ব্যৱহাৰ কৰিছিল! সীমাহীন 5G উপভোগ কৰা অব্যাহত ৰাখিবলৈ, 2GB/দিন বা অধিক প্ৰদান কৰা পেকৰ সৈতে ৰিচাৰ্জ কৰক। এতিয়াই এক্সপ্লোৰ কৰক https://i.airtel.in/5grcn"
Spam,"আজিৰ ক্ৰিকেট মেচ চাওক, কাইলৈ ৰিচাৰ্জ কৰক! এতিয়াই কোনো অতিৰিক্ত চাৰ্জ নোলোৱাকৈ 1GB ডাটা লোন লওক আৰু মেচবোৰ চাই থাকিব। তৎক্ষণাত পাবলৈ এই SMS ৰ উত্তৰ 1 টাইপ কৰক বা *567*3# ডায়েল কৰক। তথ্যৰ বৈধতা- 1 দিন। আপোনাৰ পৰৱৰ্তী ডাটা টপ-আপৰ পৰা 1GB ডাটা এডজাস্ট কৰা হ'ব।"
Spam,ডাটা সমাপ্ত? বিনা কোনো অতিৰিক্ত মূল্য অবিহনে 1GB ডাটা লোন লাভ কৰক। ডাটাৰ বৈধতা- 1 দিন। লাভ ল’বলৈ ডায়েল কৰক *567*3# নতুবা 1 ৰিপ্লাই কৰক। আপোনাৰ পৰৱৰ্তী ডাটা টপ-আপৰ সৈতে 1GB কমকৈ লাভ কৰক।
Spam,এতিয়া নিশ্চিন্তমনে ডাটা ব্যৱহাৰ কৰক কিয়নো আপুনি কোনো অতিৰিক্ত মূল্য অবিহনে 1GB ডাটা লোন ল’ব পাৰে। ডাটাৰ বৈধতা-1 দিন। লাভ ল’বলৈ ডায়েল কৰক *567*3# নতুবা i.airtel.in/get_data_loan ত ক্লিক কৰক। আপোনাৰ পৰৱৰ্তী ডাটা টপ-আপৰ সৈতে 1GB কমকৈ লাভ কৰক।
Spam,মানী মিউল' নহ’ব৷ আপোনাৰ বেংক একাউণ্টৰ জৰিয়তে আনৰ পৰা ধন লাভ কৰা বা আনলৈ ধন পঠোৱাৰ দৰে প্ৰলোভনমূলক অফাৰৰ বাবে আপুনি কাৰাগাৰলৈ যাবলগীয়া হ'ব পাৰে। -RBI
Spam,যিকোনো লেনদেনৰ বাবে ফিংগাৰপ্ৰিণ্ট ব্যৱহাৰ কৰাৰ আগতে ডিভাইচটোত স্বচ্ছ ফিল্ম নথকাটো নিশ্চিত হৈ ল'ব। অপাৰেটৰজনৰ পৰিচয় পৰীক্ষা কৰিব। লেনদেনৰ ৰচিদ বিচাৰিব। -RBI
Spam,"অজ্ঞাত ফোনকৰোঁতা, উচ্চ ৰিটাৰ্ণ প্ৰদান কৰা বিনিয়োগ পৰ্টেল আৰু ছ’চিয়েল মিডিয়াৰ জৰিয়তে লাভ কৰা জৰুৰীকালীন ধনৰ অনুৰোধৰ বিশ্বাসযোগ্যতা সদায় পৰীক্ষা কৰক। -RBI"
Spam,বেংকৰ পৰা ৰেহাই লাভ কৰাত সহায় কৰাৰ যিকোনো ধৰণৰ প্ৰতিশ্ৰুতিৰ মেছেজৰ পৰা সাৱধান হওক কাৰণ ই প্ৰৱঞ্চনামূলক হ’ব পাৰে। -RBI
Spam,এটিএমত অজ্ঞাত লোকৰ পৰা সহায় নল'ব।পিন লিপিবদ্ধ কৰোঁতে এটিএম কীপেডখন আপোনাৰ হাতেৰে ঢাকি লওক। -RBI
Spam,যোগাযোগৰ বিৱৰণৰ বাবে সদায় বেংক/এনবিএফচি/ই-ৱালেট প্ৰদানকাৰীৰ অফিচিয়েল ৱেবছাইট চাব। ইণ্টাৰনেট চাৰ্চ ইঞ্জিনত উপলব্ধ যোগাযোগ নম্বৰ প্ৰৱঞ্চনামূলক হ’ব পাৰে। -RBI
Spam,"আপোনাৰ পছন্দৰ Rs. 19 এয়াৰটেল পেক এতিয়া Rs. 22 -ত উপলব্ধ। লাভালাভৰ পৰিৱৰ্তনবোৰ জানিবলৈ, এয়াৰটেল থেংক্স এপলৈ যাওঁক u.airtel.in/rch3"
Spam,অতুলনীয় সেৱাৰ সৈতে ভাৰতৰ একমাত্ৰ প্ৰকৃত 5G নেটৱৰ্কৰ অভিজ্ঞতা লাভ কৰক। প্ৰতিমাহে মাত্ৰ Rs. 349 ৰ পৰা আৰম্ভ কৰি সীমাহীন 5G ডাটা উপভোগ কৰক। প্লাছ প্ৰতিমাহে ২০% পৰ্যন্ত ৰাহি কৰক অন্য অপাৰেটৰ পৰা !
Spam,Jio 'ৰ সৈতে সংযুক্ত হৈ থাকক আৰু Jio'ৰ বিশ্বমানৰ সেৱা উপভোগ কৰি থাকক যিটো আজিও আটাইতকৈ সুলভ হৈ আছে।
Spam,"আপোনাৰ ভাষাত গুৰুত্বপূৰ্ণ আপডেট আৰু তথ্য লাভ কৰক! www.jio.com/r/PzZZzpjVC  ক্লিক কৰি আপোনাৰ পছন্দৰ ভাষা আপডেইট কৰক
টিম Jio"
Spam,Jio ৰ পৰা গুৰুত্বপূৰ্ণ আপডেট আৰু তথ্য বাদ নিদিব! https://www.jio.com/dl/ps_change_email ক্লিক কৰি আপোনাৰ ইমেইল আইডি আপডেইট কৰক।
Spam,আপোনাৰ জিঅ' নম্বৰ 8638118161-ৰ প্লেনৰ বৈধতা সমাপ্ত হোৱাৰ বাবে পৰিসেৱা সমূহ বন্ধ  হৈছে । অনুগ্ৰহ কৰি শীঘ্ৰেই ৰিচাৰ্জ কৰক । ৰিচাৰ্জ কৰিবলৈ www.jio.com/r/PrtYKzy3S ক্লিক্ কৰক অথবা জিঅ' ৰিটেইলাৰ-ৰ সৈতে যোগাযোগ কৰক । অন্যান্য প্লেন সমূহৰ বাবে 1991 ক'ল কৰক ।
Spam,"আপোনাৰ জিঅ' নম্বৰৰ প্লেনৰ বৈধতা আজি সমাপ্ত হ'ব,শীঘ্ৰেই ৰিচাৰ্জ কৰক ।"
Spam,আপোনাৰ Jio নম্বৰ 8638118161 ৰ প্লেনৰ বৈধতা 19-06-2024 তাৰিখে সমাপ্ত হ'ব । পৰিসেৱা সমূহ বন্ধ নহ'বৰ বাবে অনুগ্ৰহ কৰি শীঘ্ৰেই ৰিচাৰ্জ কৰক । ৰিচাৰ্জ কৰিবলৈ www.jio.com/r/PlFKvwqKt ক্লিক্ কৰক । অন্যান্য প্লেন সমূহৰ বাবে 1991 ক'ল কৰক ।
Spam,JioAutoPay বাছনি কৰক আৰু কেতিয়াও ৰিচাৰ্জৰ তাৰিখ মিছ নকৰিব। যিকোনো সময়তে ৰিচাৰ্জ প্লেন আৰু পেমেণ্ট মোড সলনি কৰক। একাধিক নম্বৰ আৰু নিৰ্ধাৰিত তাৰিখ মেনেজ কৰক। -  https://www.jio.com/selfcare/autopay/
Spam,"মাইজিঅ' এপ্-ৰ সৈতে আপোনাৰ প্লেনৰ বৈধতা পৰীক্ষা কৰক , অনুসন্ধান কৰক শ্ৰেষ্ঠ প্লেন, নতুন অফাৰ আৰু বহুতো । ইনষ্টল কৰিবলৈ আৰু অসমীয়া ত MyJio-ৰ অভিজ্ঞতা লাভ কৰিবলৈ https://www.jio.com/GetMyJio ক্লিক্ কৰক । MyJio-ৰ ভাষা কেনেকৈ সলনি কৰে জানিবলৈ https://youtu.be/Lt5WdqNzlrU কৰক ।"
Spam,"আপোনাৰ ভাষাত গুৰুত্বপূৰ্ণ আপডেট আৰু তথ্য লাভ কৰক! www.jio.com/r/Pf7qNpeG5  ক্লিক কৰি আপোনাৰ পছন্দৰ ভাষা আপডেইট কৰক
টিম Jio"
Spam,আপোনাৰ Jio কানেকশ্ব্নৰ সম্বন্ধে কোনো প্ৰশ্ন আছে নেকি? সকলো উত্তৰ পাবলৈ www.jio.com/r/Pf32kWOlI ক্লিক্ কৰক ।
Spam,"আপোনাৰ পছন্দৰ এটা সুন্দৰ  JioTune ৰ সৈতে আপোনাৰ কলাৰসকলক অভিবাদন জনাওক!আমাৰ বিস্তৃত সংগ্ৰহৰ পৰা যিকোনো গান বাছনি কৰক, বলীউডৰ হিটৰ পৰা আন্তৰ্জাতিক ট্ৰেকলৈকে, আঞ্চলিক প্ৰিয়ৰ প্ৰতি ভক্তিমূলক সুৰ, আৰু বহুতো। অনুগ্ৰহ কৰি মন কৰিব, আপুনি 30 দিনৰ বাবে কেৱল এটা বিনামূলীয়া JioTune ছেট কৰিব পাৰে।  তাৰ পিছত একেটা JioTune ব্যৱহাৰ কৰা অব্যাহত ৰাখিবলৈ, আপুনি MyJio এপৰ জৰিয়তে ম্যাদ উকলি যোৱাৰ আগতে ইয়াক নৱীকৰণ কৰিব লাগিব। আপুনি সীমাহীন JioTune উপভোগ কৰিবলৈ এটা পেক ও কিনিব পাৰে। JioTune কেনেদৰে ছেট কৰিব লাগে জানিবলৈ, ক্লিক কৰক www.jio.com/r/O9czlmIS7"
